,name,datetime,temp,dew,humidity,windspeed,cloudcover,visibility,solarenergy,predicted_solar
0,"New York, NY, United States",2023-11-18,12.1,4.2,60.6,25.9,48.1,16.1,7.6,15567.1
1,"New York, NY, United States",2023-11-19,7.5,-0.7,56.7,20.5,9.0,16.2,10.7,15005.136363636364
2,"New York, NY, United States",2023-11-20,4.9,-4.5,51.9,18.4,26.7,16.3,10.1,14689.142857142857
3,"New York, NY, United States",2023-11-21,6.4,0.1,64.4,37.4,73.6,15.8,4.1,15005.136363636364
4,"New York, NY, United States",2023-11-22,11.4,8.4,82.7,33.1,69.1,19.5,2.6,15655.5
5,"New York, NY, United States",2023-11-23,7.4,2.4,70.7,23.4,40.1,19.5,2.6,15039.181818181818
6,"New York, NY, United States",2023-11-24,5.9,-0.5,63.6,23.8,30.2,21.9,3.3,14902.545454545454
7,"New York, NY, United States",2023-11-25,5.5,-0.1,67.4,18.4,58.4,24.1,7.0,14695.055555555555
8,"New York, NY, United States",2023-11-26,4.9,-4.3,53.1,16.9,60.0,23.7,9.5,14689.142857142857
9,"New York, NY, United States",2023-11-27,2.8,1.8,92.8,15.5,97.1,3.4,0.5,14618.3
10,"New York, NY, United States",2023-11-28,4.4,-1.1,68.0,15.8,5.8,24.1,9.6,14689.142857142857
11,"New York, NY, United States",2023-11-29,6.2,0.0,64.9,17.3,51.6,24.1,8.4,15005.136363636364
12,"New York, NY, United States",2023-11-30,7.0,1.1,67.0,21.2,88.1,24.1,3.4,15005.136363636364
13,"New York, NY, United States",2023-12-01,1.8,-7.0,53.2,23.0,35.9,21.8,8.9,18836.985714285714
14,"New York, NY, United States",2023-12-02,0.4,-9.8,48.3,23.8,39.2,21.6,9.8,19761.0
